Date,Open,High,Low,Close,Volume
20/05/2019,183.52,184.35,180.28,183.09,38612290
21/05/2019,185.22,188.0,184.7,186.6,28364848
22/05/2019,184.66,185.71,182.55,182.78,29748556
23/05/2019,179.8,180.54,177.81,179.66,36529736
24/05/2019,180.2,182.14,178.62,178.97,23714686
28/05/2019,178.92,180.59,177.91,178.23,27948160
29/05/2019,176.42,179.35,176.0,177.38,28481165
30/05/2019,177.95,179.23,176.67,178.3,21218412
31/05/2019,176.23,177.99,174.99,175.07,27043584
03/06/2019,175.6,177.92,170.27,173.3,40396069
04/06/2019,175.44,179.83,174.52,179.64,30967961
05/06/2019,184.28,184.99,181.14,182.54,29773427
06/06/2019,183.08,185.47,182.15,185.22,22526311
07/06/2019,186.51,191.92,185.77,190.15,30684393
10/06/2019,191.81,195.37,191.62,192.58,26220851
11/06/2019,194.86,196.0,193.6,194.81,26932882
12/06/2019,193.95,195.97,193.39,194.19,18253189
13/06/2019,194.7,196.79,193.6,194.15,21674625
14/06/2019,191.55,193.59,190.3,192.74,18761474
17/06/2019,192.9,194.96,192.17,193.89,14669144
18/06/2019,196.05,200.29,195.21,198.45,26551004
19/06/2019,199.68,199.88,197.31,197.87,21124235
20/06/2019,200.37,200.61,198.03,199.46,21513988
21/06/2019,198.8,200.85,198.15,198.78,47800589
24/06/2019,198.54,200.16,198.17,198.58,18220421
25/06/2019,198.43,199.26,195.29,195.57,21070334
26/06/2019,197.77,200.99,197.35,199.8,26067512
27/06/2019,200.29,201.57,199.57,199.74,20899717
28/06/2019,198.68,199.5,197.05,197.92,31110642
01/07/2019,203.17,204.49,200.65,201.55,27316739
02/07/2019,201.41,203.13,201.36,202.73,16935217
03/07/2019,203.28,204.44,202.69,204.41,11362045
05/07/2019,203.35,205.08,202.9,204.23,17265518
08/07/2019,200.81,201.4,198.41,200.02,25338628
09/07/2019,199.2,201.51,198.81,201.24,20578015
10/07/2019,201.85,203.73,201.56,203.23,17897138
11/07/2019,203.31,204.39,201.71,201.75,20191842
12/07/2019,202.45,204.0,202.2,203.3,17595212
